Brand Name,Generic Name,Number of Manufacturers,Total Spending,Total Dosage Units,Total Claims,Total Beneficiaries,Average Spending Per Dosage Unit (Weighted),Average Spending Per Claim,Average Spending Per Beneficiary
Methenamine Mandelate ,Methenamine Mandelate ,2,"$462,070.68","425,794","5,753","1,674",$1.10,$80.32,$276.03
Methimazole ,Methimazole ,6,"$8,306,660.09","35,182,944","639,386","127,451",$0.24,$12.99,$65.18
Methocarbamol ,Methocarbamol ,8,"$8,633,391.73","62,662,080","756,037","298,248",$0.14,$11.42,$28.95
Methotrexate ,Methotrexate Sodium ,9,"$145,405,158.78","88,140,953","2,476,593","454,099",$1.73,$58.71,$320.21
Methotrexate Sodium ,Methotrexate Sodium/PF ,4,"$698,100.39","449,662","51,409","16,687",$1.56,$13.58,$41.83
Methoxsalen ,Methoxsalen ,2,"$1,890,277.84","34,598",983,345,$54.68,"$1,922.97","$5,479.07"
Methscopolamine Bromide ,Methscopolamine Bromide ,3,"$1,806,779.57","1,217,403","15,244","4,823",$1.49,$118.52,$374.62
Methyclothiazide ,Methyclothiazide ,1,"$417,826.56","309,355","5,306","1,110",$1.35,$78.75,$376.42
Methyldopa ,Methyldopa ,4,"$1,100,151.47","4,702,859","40,852","9,388",$0.23,$26.93,$117.19
Methyldopa-Hydrochlorothiazide ,Methyldopa/Hydrochlorothiazide ,1,"$194,246.20","135,407","1,754",348,$1.44,$110.74,$558.18
Methylergonovine Maleate ,Methylergonovine Maleate ,1,"$1,167,311.02","64,587",889,517,$18.07,"$1,313.06","$2,257.85"
Methylphenidate ER ,Methylphenidate HCl ,4,"$39,693,383.43","7,811,896","170,245","27,682",$5.24,$233.15,"$1,433.91"
Methylphenidate HCl ,Methylphenidate HCl ,10,"$32,760,182.30","47,013,221","642,320","107,852",$0.69,$51.00,$303.75
Methylphenidate HCl CD ,Methylphenidate HCl ,2,"$2,329,398.91","567,891","12,957","2,594",$4.21,$179.78,$897.99
Methylphenidate La ,Methylphenidate HCl ,1,"$906,024.80","213,547","5,175","2,369",$4.25,$175.08,$382.45
Methylphenidate SR ,Methylphenidate HCl ,1,"$14,677.73","7,559",211,80,$1.94,$69.56,$183.47
Methylprednisolone ,Methylprednisolone ,7,"$60,057,097.54","77,113,248","3,464,515","2,645,186",$0.79,$17.33,$22.70
Methylprednisolone Acetate ,Methylprednisolone Acetate ,2,"$59,829.99","7,141","4,413","3,347",$8.41,$13.56,$17.88
Methylprednisolone Sod Succ ,Methylprednisolone Sod Succ ,1,"$614,908.76","239,523","10,146","4,697",$3.69,$60.61,$130.92
Metoclopramide HCl ,Metoclopramide HCl ,13,"$11,372,041.09","151,499,115","1,440,699","485,910",$0.09,$7.89,$23.40
Metoclopramide HCl ODT ,Metoclopramide HCl ,1,"$140,285.29","19,375",216,134,$7.24,$649.47,"$1,046.91"
Metolazone ,Metolazone ,4,"$41,392,704.74","29,327,797","976,633","278,687",$1.40,$42.38,$148.53
Metoprolol Succinate ,Metoprolol Succinate ,12,"$574,071,446.67","1,180,266,450","19,963,967","3,874,222",$0.49,$28.76,$148.18
Metoprolol Tartrate ,Metoprolol Tartrate ,17,"$142,033,466.61","1,968,666,264","21,542,542","4,245,035",$0.07,$6.59,$33.46
Metoprolol-Hydrochlorothiazide ,Metoprolol/Hydrochlorothiazide ,4,"$4,085,466.39","3,950,019","68,192","14,457",$1.04,$59.91,$282.59
Metozolv ODT ,Metoclopramide HCl ,1,"$46,047.78","4,772",51,24,$9.65,$902.90,"$1,918.66"
Metro IV ,Metronidazole/Sodium Chloride ,1,"$8,758.27","385,834",368,142,$0.02,$23.80,$61.68
Metrocream ,Metronidazole ,1,"$173,274.14","15,045",267,129,$11.52,$648.97,"$1,343.21"
Metrogel ,Metronidazole ,1,"$681,274.87","111,535","1,663",942,$6.12,$409.67,$723.22
Metrogel-Vaginal ,Metronidazole ,1,"$27,832.26","8,400",120,96,$3.31,$231.94,$289.92
Metrolotion ,Metronidazole ,1,"$96,489.22","8,559",108,45,$11.27,$893.42,"$2,144.20"
Metronidazole ,Metronidazole ,18,"$93,044,583.68","71,135,154","2,078,385","1,500,275",$0.99,$44.77,$62.02
Metronidazole ,Metronidazole/Sodium Chloride ,4,"$113,715.65","5,083,001","5,050","1,911",$0.02,$22.52,$59.51
Mexiletine HCl ,Mexiletine HCl ,1,"$7,919,425.20","8,368,973","70,783","14,763",$0.95,$111.88,$536.44
Miacalcin ,"Calcitonin,Salmon,Synthetic ",2,"$5,124,440.68","9,322","1,502",398,$417.68,"$3,411.74","$12,875.48"
Micardis ,Telmisartan ,1,"$5,685,467.75","996,802","19,832","3,821",$5.70,$286.68,"$1,487.95"
Micardis HCT ,Telmisartan/Hydrochlorothiazid ,1,"$3,554,664.31","617,419","13,240","2,474",$5.76,$268.48,"$1,436.81"
Miconazole 3 ,Miconazole Nitrate ,1,"$98,891.96","6,994","2,032","1,751",$14.14,$48.67,$56.48
Microgestin ,Norethindrone Ac-Eth Estradiol ,2,"$223,516.32","296,612","8,270","2,075",$0.75,$27.03,$107.72
Microgestin Fe ,Norethindrone-E.Estradiol-Iron ,2,"$525,085.96","892,098","20,099","4,855",$0.59,$26.12,$108.15
Microzide ,Hydrochlorothiazide ,1,"$38,203.37","33,604",550,133,$1.14,$69.46,$287.24
Midazolam HCl ,Midazolam HCl ,4,"$55,746.02","40,814","13,397","11,514",$1.91,$4.16,$4.84
Midazolam HCl ,Midazolam HCl/PF ,3,"$29,821.08","16,528","9,558","8,672",$1.93,$3.12,$3.44
Midodrine HCl ,Midodrine HCl ,9,"$46,204,728.16","56,711,772","641,938","138,469",$0.83,$71.98,$333.68
Migergot ,Ergotamine Tartrate/Caffeine ,1,"$2,061,255.68","41,625","1,819",332,$49.52,"$1,133.18","$6,208.60"
Migranal ,Dihydroergotamine Mesylate ,1,"$4,701,817.60","13,868","1,502",534,$339.04,"$3,130.37","$8,804.90"
Millipred ,Prednisolone ,1,"$226,425.92","33,059",677,328,$6.85,$334.45,$690.32
Milrinone In 5% Dextrose ,Milrinone Lactate/D5W ,3,"$93,070.94","402,308",312,17,$0.23,$298.30,"$5,474.76"
Milrinone Lactate ,Milrinone Lactate ,3,"$2,247,029.38","998,393","2,915",178,$2.25,$770.85,"$12,623.76"
Mimvey ,Estradiol/Norethindrone Acet ,1,"$1,618,313.47","557,787","13,669","3,165",$2.90,$118.39,$511.32
Mimvey Lo ,Estradiol/Norethindrone Acet ,1,"$853,533.04","295,177","6,323","1,742",$2.89,$134.99,$489.97
Minastrin 24 Fe ,Norethindrone-E.Estradiol-Iron ,1,"$239,765.06","46,962","1,285",344,$5.11,$186.59,$696.99
Mini Ultra-Thin II ,"Pen Needle, Diabetic ",1,"$126,219.50","429,847","3,618","1,673",$0.29,$34.89,$75.45
Minipress ,Prazosin HCl ,1,"$12,504.53","8,425",82,19,$1.48,$152.49,$658.13
Minitran ,Nitroglycerin ,1,"$63,976.09","27,099",613,213,$2.37,$104.37,$300.36
Minivelle ,Estradiol ,1,"$4,058,031.61","259,938","22,990","6,018",$15.61,$176.51,$674.32
Minocin ,Minocycline HCl ,1,"$318,221.49","8,745",144,62,$36.39,"$2,209.87","$5,132.60"
Minocycline HCl ,Minocycline HCl ,8,"$12,220,707.91","21,440,648","443,563","191,806",$0.58,$27.55,$63.71
Minocycline HCl ER ,Minocycline HCl ,1,"$146,369.95","11,713",296,122,$12.41,$494.49,"$1,199.75"
Minoxidil ,Minoxidil ,5,"$5,415,927.35","25,126,393","273,467","57,454",$0.22,$19.80,$94.27
Mirapex ,Pramipexole Di-HCl ,1,"$2,954,662.34","527,330","4,876","1,000",$5.60,$605.96,"$2,954.66"
Mirapex ER ,Pramipexole Di-HCl ,1,"$4,230,914.23","263,033","5,325","1,143",$16.09,$794.54,"$3,701.59"
Mircette ,Desog-E.Estradiol/E.Estradiol ,1,"$14,071.42","3,752",91,13,$3.75,$154.63,"$1,082.42"
Mirena ,Levonorgestrel ,1,"$262,608.63",313,313,311,$839.01,$839.01,$844.40
Mirtazapine ,Mirtazapine ,12,"$110,464,469.25","218,620,231","6,324,548","1,141,556",$0.52,$17.47,$96.77
Mirvaso ,Brimonidine Tartrate ,1,"$1,284,268.80","101,926","2,979","1,816",$12.60,$431.11,$707.20
Misoprostol ,Misoprostol ,3,"$8,212,536.28","10,967,892","142,764","47,725",$0.76,$57.53,$172.08
Mitomycin ,Mitomycin ,1,"$1,369,507.29","4,070",754,392,$339.86,"$1,816.32","$3,493.64"
Mobic ,Meloxicam ,1,"$1,479,076.33","168,107","3,188",950,$9.00,$463.95,"$1,556.92"
Modafinil ,Modafinil ,11,"$72,079,301.14","12,957,811","261,434","51,723",$5.62,$275.71,"$1,393.56"
Moderiba ,Ribavirin ,1,"$231,829.05","27,132",326,124,$12.12,$711.13,"$1,869.59"
Moexipril HCl ,Moexipril HCl ,2,"$3,341,301.78","3,844,261","56,777","10,559",$0.87,$58.85,$316.44
Moexipril-Hydrochlorothiazide ,Moexipril/Hydrochlorothiazide ,2,"$930,579.18","1,090,842","16,853","3,679",$0.85,$55.22,$252.94
Mometasone Furoate ,Mometasone Furoate ,7,"$10,983,787.45","21,437,553","481,379","301,987",$0.52,$22.82,$36.37
Mono-Linyah ,Norgestimate-Ethinyl Estradiol ,1,"$150,835.18","341,290","9,378","2,071",$0.44,$16.08,$72.83
Monoject ,"Syringe-Needle,Insulin,0.5 Ml ",1,"$1,552.57","12,396",168,59,$0.13,$9.24,$26.31
Monoject Insulin Safety Syrng ,"Syringe W-Ndl, Disp., Insulin ",1,"$747,857.50","1,880,556","20,336","4,201",$0.40,$36.78,$178.02
Monoject Insulin Syringe ,"Syring-Needl,Disp,Insul,0.3 Ml ",2,"$100,311.45","359,688","3,329","1,249",$0.28,$30.13,$80.31
Monoject Insulin Syringe ,"Syringe And Needle,Insulin,1ml ",2,"$186,357.73","1,095,975","11,459","4,069",$0.16,$16.26,$45.80
Monoject Insulin Syringe ,"Syringe-Needle,Insulin,0.5 Ml ",2,"$1,028,446.66","2,986,994","31,081","8,110",$0.35,$33.09,$126.81
Mononessa ,Norgestimate-Ethinyl Estradiol ,1,"$257,655.51","573,050","13,682","3,438",$0.45,$18.83,$74.94
Montelukast Sodium ,Montelukast Sodium ,24,"$150,658,292.24","422,933,040","9,009,303","1,938,955",$0.36,$16.72,$77.70
Monurol ,Fosfomycin Tromethamine ,2,"$6,519,713.88","96,178","39,833","22,537",$67.77,$163.68,$289.29
Morphine Sulfate ,Morphine Sulfate ,7,"$25,219,832.47","80,957,870","916,892","260,226",$0.36,$27.51,$96.92
Morphine Sulfate ER ,Morphine Sulfate ,10,"$243,834,849.70","228,067,674","3,447,304","465,788",$1.06,$70.73,$523.49
Movantik ,Naloxegol Oxalate ,1,"$46,944,919.07","4,944,689","159,006","48,721",$9.49,$295.24,$963.55
Moviprep ,PEG3350/Sod Sul/NaCl/Asb/C/KCl ,1,"$9,103,624.45","113,945","103,456","100,483",$79.89,$88.00,$90.60
Moxeza ,Moxifloxacin HCl ,1,"$1,440,173.22","28,648","9,380","7,010",$50.27,$153.54,$205.45
Moxifloxacin HCl ,Moxifloxacin HCl ,7,"$10,491,693.40","1,156,342","125,824","99,498",$9.08,$83.38,$105.45
Mozobil ,Plerixafor ,1,"$3,660,048.82",606,182,170,"$6,039.68","$20,110.16","$21,529.70"
Ms Contin ,Morphine Sulfate ,1,"$3,993,119.28","357,997","3,739",484,$10.53,"$1,067.96","$8,250.25"
Multaq ,Dronedarone HCl ,1,"$294,880,793.14","32,414,534","407,396","75,939",$9.10,$723.82,"$3,883.13"
Multivitamin With Fluoride ,Pedi Multivit No.17 W-Fluoride ,1,"$6,151.97","22,100",526,144,$0.28,$11.70,$42.72
Mupirocin ,Mupirocin ,5,"$25,277,294.78","60,330,469","2,245,775","1,521,556",$0.42,$11.26,$16.61
Mupirocin ,Mupirocin Calcium ,2,"$29,667,311.31","5,136,675","172,540","125,423",$5.78,$171.94,$236.54
Mustargen ,Mechlorethamine HCl ,1,"$87,748.96","18,412",63,30,$4.77,"$1,392.84","$2,924.97"
Myambutol ,Ethambutol HCl ,1,"$18,874.15","17,563",305,123,$1.07,$61.88,$153.45
Mycamine ,Micafungin Sodium ,2,"$5,489,000.18","399,478","4,713","1,296",$13.88,"$1,164.65","$4,235.34"
Mycobutin ,Rifabutin ,1,"$117,601.05","5,347",103,45,$21.99,"$1,141.76","$2,613.36"
Mycophenolate Mofetil ,Mycophenolate Mofetil ,9,"$34,395,315.99","49,904,512","325,921","59,537",$0.68,$105.53,$577.71
Mycophenolic Acid ,Mycophenolate Sodium ,3,"$17,536,433.22","3,798,635","29,072","5,375",$4.85,$603.21,"$3,262.59"
Myfortic ,Mycophenolate Sodium ,1,"$5,618,331.56","800,551","5,862","1,233",$7.43,$958.43,"$4,556.64"
Myleran ,Busulfan ,1,"$40,016.03","1,714",58,19,$23.35,$689.93,"$2,106.11"
Myobloc ,Rimabotulinumtoxinb ,1,"$317,529.52",560,290,134,$563.01,"$1,094.93","$2,369.62"
Myorisan ,Isotretinoin ,1,"$650,855.95","93,161","2,097",850,$6.94,$310.37,$765.71
Myrbetriq ,Mirabegron ,1,"$518,607,486.36","53,320,180","1,399,283","296,979",$9.73,$370.62,"$1,746.28"
Mysoline ,Primidone ,1,"$15,928,279.64","570,337","4,499",650,$30.83,"$3,540.40","$24,505.05"
Myzilra ,Levonorgestrel-Ethin Estradiol ,1,"$41,477.55","68,410","1,768",311,$0.61,$23.46,$133.37
NP Thyroid ,"Thyroid,Pork ",1,"$571,686.66","1,429,134","24,315","8,210",$0.41,$23.51,$69.63
NPlate ,Romiplostim ,1,"$6,919,337.20","3,220",844,136,"$2,140.18","$8,198.27","$50,877.48"
Nabumetone ,Nabumetone ,7,"$20,216,541.30","65,281,911","879,776","298,037",$0.31,$22.98,$67.83
Nadolol ,Nadolol ,7,"$53,159,337.93","26,677,363","434,894","95,596",$1.98,$122.24,$556.08
Nadolol-Bendroflumethiazide ,Nadolol/Bendroflumethiazide ,1,"$374,393.95","139,563","2,289",521,$2.69,$163.56,$718.61
Nafcillin ,"Nafcillin In Dextrose,Iso-Osm ",1,"$483,454.11","2,203,684",607,179,$0.22,$796.46,"$2,700.86"
Nafcillin Sodium ,Nafcillin Sodium ,5,"$3,735,688.46","1,828,614","4,951","1,286",$3.00,$754.53,"$2,904.89"
Naftifine HCl ,Naftifine HCl ,1,"$1,122,899.45","274,891","3,884","2,366",$4.08,$289.11,$474.60
Naftin ,Naftifine HCl ,2,"$5,984,921.17","816,288","13,994","8,367",$7.36,$427.68,$715.30
Naglazyme ,Galsulfase ,1,"$7,813,140.27","22,050",171,  ,$354.34,"$45,690.88",  
Nalbuphine HCl ,Nalbuphine HCl ,1,"$968,807.81","268,869","4,200",376,$3.62,$230.67,"$2,576.62"
Nalfon ,Fenoprofen Calcium ,1,"$400,661.04","122,213","1,129",651,$3.28,$354.88,$615.45
Naloxone HCl ,Naloxone HCl ,3,"$705,381.11","46,408","18,303","16,828",$15.34,$38.54,$41.92
Naltrexone HCl ,Naltrexone HCl ,6,"$5,750,333.52","4,870,520","132,127","33,057",$1.18,$43.52,$173.95
Namenda ,Memantine HCl ,1,"$29,855,587.53","5,680,505","83,598","23,976",$5.77,$357.13,"$1,245.23"
Namenda XR ,Memantine HCl ,1,"$1,032,240,408.20","85,783,963","3,221,414","367,739",$12.04,$320.43,"$2,806.99"
Namzaric ,Memantine HCl/Donepezil HCl ,1,"$69,092,449.69","5,768,851","211,571","35,399",$11.98,$326.57,"$1,951.82"
Naphazoline HCl ,Naphazoline HCl ,1,"$226,719.55","551,578","35,014","16,911",$0.41,$6.48,$13.41
Naprelan ,Naproxen Sodium ,1,"$833,868.02","42,048",820,253,$19.87,"$1,016.91","$3,295.92"
Naprosyn ,Naproxen ,1,"$61,037.07","21,634",286,151,$2.82,$213.42,$404.22
Naproxen ,Naproxen ,9,"$30,737,572.13","232,728,174","3,620,230","1,557,620",$0.13,$8.49,$19.73
Naproxen Sodium ,Naproxen Sodium ,4,"$19,767,304.22","11,371,692","212,072","110,779",$1.74,$93.21,$178.44
Naproxen Sodium Cr ,Naproxen Sodium ,1,"$1,809,112.16","163,359","1,996",925,$12.33,$906.37,"$1,955.80"
Naproxen Sodium ER ,Naproxen Sodium ,1,"$278,945.30","20,358",349,215,$13.70,$799.27,"$1,297.42"
Naratriptan HCl ,Naratriptan HCl ,7,"$2,903,958.63","663,708","55,502","13,967",$4.38,$52.32,$207.92
Nardil ,Phenelzine Sulfate ,1,"$299,052.09","169,148","1,254",189,$1.77,$238.48,"$1,582.29"
Nasonex ,Mometasone Furoate ,1,"$125,573,521.70","9,277,108","448,176","188,316",$13.54,$280.19,$666.82
Natacyn ,Natamycin ,1,"$385,288.75","19,268","1,277",746,$20.00,$301.71,$516.47
Natazia ,Estradiol Valerate/Dienogest ,1,"$58,111.59","10,668",302,54,$5.45,$192.42,"$1,076.14"
Nateglinide ,Nateglinide ,4,"$25,677,730.52","34,449,374","269,778","55,030",$0.75,$95.18,$466.61
Natesto ,Testosterone ,1,"$57,186.78","1,918",126,55,$29.82,$453.86,"$1,039.76"
Natpara ,Parathyroid Hormone ,1,"$16,278,552.66","3,826","1,870",282,"$4,254.71","$8,705.11","$57,725.36"
Nebupent ,Pentamidine Isethionate ,1,"$23,845.49",151,142,50,$157.92,$167.93,$476.91
Necon ,Norethindrone-Ethinyl Estrad ,1,"$370,016.18","580,980","13,536","2,703",$0.64,$27.34,$136.89
Necon ,Norethindrone-Mestranol ,1,"$61,424.27","73,848","1,920",335,$0.83,$31.99,$183.36
Nefazodone HCl ,Nefazodone HCl ,1,"$7,054,104.13","4,851,858","51,246","8,692",$1.45,$137.65,$811.56
Neo-Polycin ,Neomycin Su/Bacitra/Polymyxin ,1,"$27,074.98","2,409",651,548,$11.24,$41.59,$49.41
Neo-Polycin HC ,Neomycin/Bacit/P-Myx/Hydrocort ,1,"$30,188.46","2,402",621,478,$12.57,$48.61,$63.16
Neo-Synalar ,Neomycin Sulfate/Fluocinolone ,1,"$189,569.12","22,260",343,257,$8.52,$552.68,$737.62
Neo-Synalar ,Neomycin/Fluocinolone/Emol #65 ,1,"$30,705.13","19,020",62,43,$1.61,$495.24,$714.07
Neomycin Sulfate ,Neomycin Sulfate ,4,"$1,130,786.31","1,242,175","56,364","47,054",$0.91,$20.06,$24.03
Neomycin-Bacitracin-Poly-HC ,Neomycin/Bacit/P-Myx/Hydrocort ,2,"$257,809.88","20,205","5,419","4,230",$12.76,$47.58,$60.95
Neomycin-Bacitracin-Polymyxin ,Neomycin Su/Bacitra/Polymyxin ,2,"$279,682.91","24,207","6,627","5,205",$11.55,$42.20,$53.73
Neomycin-Polymyxin B ,Neomycin Sulf/Polymyxin B Sulf ,2,"$341,288.77","2,336,883","5,799",677,$0.15,$58.85,$504.12
Neomycin-Polymyxin-Dexameth ,Neomycin/Polymyxin B/Dexametha ,3,"$10,849,261.09","2,997,428","681,355","490,119",$3.77,$15.92,$22.14
Neomycin-Polymyxin-Gramicidin ,Neomycin/Polymyxn B/Gramicidin ,1,"$439,334.72","101,131","9,980","8,671",$4.34,$44.02,$50.67
Neomycin-Polymyxin-HC ,Neomycin/Polymyxin B/Hydrocort ,2,"$12,887,410.45","2,431,845","243,119","208,908",$5.43,$53.01,$61.69
Neomycin-Polymyxin-Hydrocort ,Neomycin/Polymyxin B/Hydrocort ,2,"$14,961,468.97","3,155,075","310,431","265,028",$4.74,$48.20,$56.45
Neoral ,"Cyclosporine, Modified ",1,"$3,340,289.14","1,375,872","7,876","1,186",$3.17,$424.11,"$2,816.43"
Neosporin G.U. Irrigant ,Neomycin Sulf/Polymyxin B Sulf ,1,"$21,099.32","99,986",228,39,$0.21,$92.54,$541.01
Nephro-Vite Rx ,Vit B Cmplx 3/Folic Ac/C/Biot ,1,"$1,144.79","3,474",83,23,$0.33,$13.79,$49.77
Nesina ,Alogliptin Benzoate ,1,"$6,082,963.35","524,913","12,094","3,263",$11.59,$502.97,"$1,864.22"
Nestabs ,Prenatal Vit86/Iron/Folic Acid ,1,"$7,115.56","4,740",113,44,$1.50,$62.97,$161.72
Nestabs DHA ,Prenatal 87/Iron Bis/Folic/DHA ,1,"$12,158.38","7,260",110,38,$1.67,$110.53,$319.96
Neulasta ,PEGfilgrastim ,1,"$70,135,986.33","7,986","11,218","3,490","$8,782.77","$6,252.09","$20,096.27"
Neupogen ,Filgrastim ,1,"$62,721,399.76","130,404","21,576","7,558",$561.17,"$2,907.00","$8,298.68"
Neupro ,Rotigotine ,1,"$72,685,385.49","3,857,803","105,846","19,045",$18.84,$686.71,"$3,816.51"
Neurontin ,Gabapentin ,1,"$21,067,683.50","4,983,724","28,445","5,279",$4.61,$740.65,"$3,990.85"
Nevanac ,Nepafenac ,1,"$14,124,384.34","185,881","54,156","26,850",$75.99,$260.81,$526.05
Nevirapine ,Nevirapine ,7,"$1,155,631.80","1,778,714","25,013","3,193",$0.65,$46.20,$361.93
Nevirapine ER ,Nevirapine ,4,"$10,354,982.07","634,770","18,665","2,382",$16.33,$554.78,"$4,347.18"
Nexavar ,Sorafenib Tosylate ,1,"$214,135,701.81","1,721,020","18,780","5,241",$124.42,"$11,402.33","$40,857.79"
Nexium ,Esomeprazole Magnesium ,1,"$1,082,145,443.50","129,137,640","3,006,614","588,927",$8.39,$359.92,"$1,837.49"
Nexium I.V. ,Esomeprazole Sodium ,1,"$203,213.96","4,980",454,30,$40.81,$447.61,"$6,773.80"
Nexplanon ,Etonogestrel ,1,"$97,047.23",119,119,119,$815.52,$815.52,$815.52
Niacin ER ,Niacin ,5,"$93,744,802.50","36,660,673","525,472","128,311",$2.54,$178.40,$730.61
Niacor ,Niacin ,1,"$491,242.04","1,324,762","14,606","3,423",$0.37,$33.63,$143.51
Niaspan ,Niacin ,1,"$4,760,014.10","781,119","9,479","2,732",$6.36,$502.16,"$1,742.32"
Nicardipine HCl ,Nicardipine HCl ,2,"$2,621,267.01","1,833,184","15,539","3,078",$1.45,$168.69,$851.61
Nicotrol ,Nicotine ,1,"$8,818,413.27","4,793,446","24,912","12,470",$1.84,$353.98,$707.17
Nicotrol Ns ,Nicotine ,1,"$4,156,747.55","510,374","9,797","2,960",$8.14,$424.29,"$1,404.31"
Nifedical XL ,Nifedipine ,1,"$24,407,046.08","50,521,606","884,899","208,631",$0.48,$27.58,$116.99
Nifedipine ,Nifedipine ,4,"$1,117,669.56","1,290,327","14,850","5,716",$0.87,$75.26,$195.53
Nifedipine ER ,Nifedipine ,12,"$88,679,388.19","139,706,693","2,489,830","526,362",$0.64,$35.62,$168.48
Nikki ,Ethinyl Estradiol/Drospirenone ,1,"$61,991.00","37,762","1,115",250,$1.64,$55.60,$247.96
Nilandron ,Nilutamide ,1,"$12,315,760.09","60,258","1,771",376,$204.38,"$6,954.13","$32,754.68"
Nimodipine ,Nimodipine ,1,"$2,080,301.93","196,448","1,724",728,$10.59,"$1,206.67","$2,857.56"
Ninlaro ,Ixazomib Citrate ,1,"$80,744,140.27","30,270","9,015","2,397","$2,667.46","$8,956.64","$33,685.50"
Nisoldipine ,Nisoldipine ,2,"$18,661,065.80","3,343,115","55,684","11,268",$5.56,$335.12,"$1,656.11"
Nitro-Bid ,Nitroglycerin ,1,"$1,015,259.80","975,518","21,653","12,570",$1.04,$46.89,$80.77
Nitro-Dur ,Nitroglycerin ,1,"$2,296,407.47","445,612","11,210","2,603",$5.16,$204.85,$882.22
Nitrofurantoin ,Nitrofurantoin ,4,"$3,242,719.49","1,873,010","5,728","2,640",$1.73,$566.12,"$1,228.30"
Nitrofurantoin ,Nitrofurantoin Macrocrystal ,7,"$28,884,113.76","24,212,154","747,190","331,458",$1.24,$38.66,$87.14
Nitrofurantoin Mono-Macro ,Nitrofurantoin Monohyd/M-Cryst ,8,"$67,565,040.39","37,436,341","2,164,321","1,463,187",$1.81,$31.22,$46.18
Nitroglycerin ,Nitroglycerin ,5,"$11,790,884.29","584,095","56,766","34,233",$22.16,$207.71,$344.43
Nitroglycerin Patch ,Nitroglycerin ,5,"$16,200,470.01","20,903,447","525,178","107,095",$0.78,$30.85,$151.27
Nitrolingual ,Nitroglycerin ,1,"$667,070.52","17,536","1,934","1,073",$38.04,$344.92,$621.69
Nitromist ,Nitroglycerin ,1,"$118,750.67","1,657",231,143,$71.65,$514.07,$830.42
Nitrostat ,Nitroglycerin ,1,"$58,057,063.43","69,158,269","1,726,810","1,155,307",$0.85,$33.62,$50.25
Nizatidine ,Nizatidine ,6,"$1,519,012.69","3,708,274","42,465","10,398",$0.43,$35.77,$146.09
Nizoral ,Ketoconazole ,1,"$33,822.25","76,672",495,240,$0.44,$68.33,$140.93
Nor-Q-D ,Norethindrone ,1,"$3,998.33","2,774",74,29,$1.44,$54.03,$137.87
Nora-Be ,Norethindrone ,1,"$201,308.28","349,647","7,639","2,086",$0.58,$26.35,$96.50
Norco ,Hydrocodone/Acetaminophen ,1,"$5,631,987.81","1,570,183","13,042","2,693",$3.52,$431.83,"$2,091.34"
Norditropin Flexpro ,Somatropin ,1,"$14,392,667.82","23,958","7,326","1,037",$610.42,"$1,964.60","$13,879.14"
Norethin-Eth Estra-Ferrous Fum ,Noreth-Ethinyl Estradiol/Iron ,1,"$48,631.37","18,536",502,92,$2.62,$96.88,$528.60
Norethin-Eth Estra-Ferrous Fum ,Norethindrone-E.Estradiol-Iron ,1,"$101,586.97","106,372","2,915",730,$0.91,$34.85,$139.16
Norethindron-Ethinyl Estradiol ,Norethindrone Ac-Eth Estradiol ,2,"$760,847.25","384,324","9,270","2,583",$1.85,$82.08,$294.56
Norethindrone ,Norethindrone ,3,"$402,621.57","811,815","21,221","5,177",$0.49,$18.97,$77.77
Norethindrone Acetate ,Norethindrone Acetate ,3,"$2,858,508.87","1,903,432","42,280","10,921",$1.50,$67.61,$261.74
Norgestimate-Ethinyl Estradiol ,Norgestimate-Ethinyl Estradiol ,1,"$133,575.70","274,905","7,235","1,723",$0.49,$18.46,$77.53
Noritate ,Metronidazole ,1,"$4,276,353.55","157,245","2,390","1,660",$27.20,"$1,789.27","$2,576.12"
Norpace ,Disopyramide Phosphate ,1,"$145,701.51","44,395",334,64,$3.32,$436.23,"$2,276.59"
Norpace Cr ,Disopyramide Phosphate ,1,"$1,266,825.08","408,020","3,169",617,$3.11,$399.76,"$2,053.20"
Norpramin ,Desipramine HCl ,1,"$78,447.40","43,915",256,59,$1.79,$306.44,"$1,329.62"
Northera ,Droxidopa ,1,"$110,994,059.65","2,606,784","14,380","2,542",$45.03,"$7,718.64","$43,664.07"
Nortrel ,Norethindrone-Ethinyl Estrad ,1,"$301,445.40","475,762","13,689","2,234",$0.63,$22.02,$134.94
Nortriptyline HCl ,Nortriptyline HCl ,5,"$18,439,953.13","104,845,468","1,369,326","342,627",$0.18,$13.47,$53.82
Norvasc ,Amlodipine Besylate ,1,"$17,712,143.81","3,629,594","61,137","12,895",$4.95,$289.71,"$1,373.57"
Norvir ,Ritonavir ,1,"$130,575,009.02","15,158,177","380,398","47,536",$8.63,$343.26,"$2,746.87"
Novarel ,"Chorionic Gonadotropin, Human ",1,"$59,560.81",281,156,60,$211.96,$381.80,$992.68
Novofine ,"Pen Needle, Diabetic ",1,"$7,950,302.37","20,843,757","156,240","51,068",$0.38,$50.89,$155.68
Novofine 32 ,"Pen Needle, Diabetic ",1,"$16,748,877.50","37,687,446","281,928","99,898",$0.44,$59.41,$167.66
Novofine Autocover ,"Pen Needle, Diabetic, Safety ",1,"$11,544,160.32","16,579,916","193,145","42,162",$0.70,$59.77,$273.80
Novofine Plus ,"Pen Needle, Diabetic ",1,"$1,709,112.65","4,189,870","32,443","16,458",$0.41,$52.68,$103.85
